Channel,Elevation,Azimuth
1,14.442,3.222
2,13.518,3.221
3,13.082,0.957
4,12.613,3.21
5,12.177,0.947
6,11.686,3.211
7,11.239,0.951
8,10.759,3.206
9,10.302,0.947
10,9.81,3.202
11,9.324,0.944
12,8.853,3.195
13,8.4,0.945
14,7.921,3.189
15,7.448,0.944
16,6.939,-1.222
17,6.473,0.937
18,5.978,-1.227
19,5.469,-3.444
20,4.995,-1.234
21,4.491,-3.447
22,4.006,-1.235
23,3.51,-3.444
24,3.018,-1.246
25,2.501,-3.448
26,1.99,-1.257
27,1.838,7.62
28,1.783,5.426
29,1.616,3.179
30,1.524,-3.452
31,1.407,0.94
32,1.26,-5.636
33,1.128,-7.823
34,1.014,-1.26
35,0.877,7.628
36,0.753,5.442
37,0.64,3.193
38,0.523,-3.452
39,0.407,0.938
40,0.255,-5.636
41,0.128,-7.83
42,0.003,-1.268
43,-0.122,7.651
44,-0.259,5.442
45,-0.404,3.187
46,-0.496,-3.457
47,-0.623,0.945
48,-0.743,-5.649
49,-0.91,-7.845
50,-1.004,-1.268
51,-1.136,7.652
52,-1.243,5.449
53,-1.41,3.19
54,-1.509,-3.456
55,-1.625,0.945
56,-1.767,-5.652
57,-1.886,-7.858
58,-2.037,-1.274
59,-2.142,7.676
60,-2.273,5.46
61,-2.435,3.191
62,-2.522,-3.465
63,-2.649,0.942
64,-2.773,-5.662
65,-2.896,-7.872
66,-3.053,-1.278
67,-3.157,7.686
68,-3.293,5.461
69,-3.417,3.193
70,-3.506,-3.465
71,-3.643,0.939
72,-3.798,-5.665
73,-3.908,-7.885
74,-4.054,-1.28
75,-4.159,7.682
76,-4.336,5.467
77,-4.454,3.193
78,-4.555,-3.474
79,-4.701,0.933
80,-4.8,-5.671
81,-4.911,-7.898
82,-5.1,-1.291
83,-5.175,7.705
84,-5.331,5.475
85,-5.489,3.192
86,-5.578,-3.475
87,-5.693,0.948
88,-5.822,-5.685
89,-5.92,-7.915
90,-6.108,-1.289
91,-6.585,-3.479
92,-7.138,-1.292
93,-7.592,-3.484
94,-8.135,-1.297
95,-8.622,-3.489
96,-9.154,3.222
97,-9.63,-3.497
98,-10.162,3.238
99,-10.673,0.964
100,-11.185,3.242
101,-11.698,0.974
102,-12.184,3.246
103,-12.669,0.981
104,-13.171,3.262
105,-13.669,0.987
106,-14.147,3.267
107,-14.659,0.987
108,-15.141,3.277
109,-15.638,1.004
110,-16.129,3.286
111,-16.625,0.994
112,-17.106,-1.345
113,-17.597,1.01
114,-18.081,-1.347
115,-18.519,-3.533
116,-19.042,-1.351
117,-19.468,-3.537
118,-19.986,-1.357
119,-20.423,-3.535
120,-20.932,-1.355
121,-21.332,-3.542
122,-21.832,-1.354
123,-22.268,-3.542
124,-22.759,-1.355
125,-23.192,-3.545
126,-23.66,-1.356
127,-24.101,-3.542
128,-24.995,-3.552
